,environment_score,governance_score,social_score,environment_grade,social_grade,governance_grade,Name
NWSA,505,310,306,A,BB,BB,News Corporation
NWS,500,308,301,A,BB,BB,News Corporation
MKTX,255,210,214,B,B,B,MarketAxess Holdings Inc.
ABMD,500,305,324,A,BB,BB,Abiomed
IRM,500,300,300,A,BB,BB,Iron Mountain Incorporated
PHM,200,285,205,B,B,B,PulteGroup
PTC,555,400,316,A,BB,BBB,PTC Inc.
HWM,515,320,306,A,BB,BB,Howmet Aerospace Inc.
UAL,205,238,292,B,B,B,United Airlines Holdings
IPG,500,300,300,A,BB,BB,The Interpublic Group of Companies
CPB,532,305,342,A,BB,BB,Campbell Soup Company
CHRW,555,330,332,A,BB,BB,C.H. Robinson Worldwide
PKG,500,300,303,A,BB,BB,Packaging Corporation of America
BBWI,515,310,351,A,BB,BB,Bath & Body Works
FMC,515,305,305,A,BB,BB,FMC Corporation
PWR,542,305,391,A,BB,BB,Quanta Services
TFX,200,200,200,B,B,B,Teleflex Incorporated
TECH,520,300,269,A,B,BB,Bio-Techne Corporation
ATO,518,300,301,A,BB,BB,Atmos Energy Corporation
AAP,282,228,313,B,BB,B,Advance Auto Parts
QRVO,510,300,309,A,BB,BB,Qorvo
ROL,500,300,320,A,BB,BB,Rollins
WRB,360,300,294,BB,B,BB,W. R. Berkley Corporation
KIM,545,320,318,A,BB,BB,Kimco Realty Corporation
EVRG,563,300,339,A,BB,BB,Evergy
LNT,552,300,305,A,BB,BB,Alliant Energy Corporation
CF,530,305,343,A,BB,BB,CF Industries Holdings
TXT,595,300,348,A,BB,BB,Textron Inc.
AES,505,350,309,A,BB,BB,The AES Corporation
NLOK,520,345,301,A,BB,BB,NortonLifeLock Inc
CAH,518,319,310,A,BB,BB,Cardinal Health
L,505,305,301,A,BB,BB,Loews Corporation
MOS,510,300,336,A,BB,BB,The Mosaic Company
MAS,507,305,302,A,BB,BB,Masco Corporation
CZR,285,200,208,B,B,B,Caesars Entertainment
SJM,500,305,307,A,BB,BB,The J. M. Smucker Company
FDS,633,311,332,AA,BB,BB,FactSet Research Systems Inc.
MRO,530,305,306,A,BB,BB,Melrose Industries PLC
OMC,553,310,330,A,BB,BB,Omnicom Group Inc.
LKQ,505,305,300,A,BB,BB,LKQ Corporation
DPZ,205,200,201,B,B,B,Dominos Pizza
BEN,326,305,350,BB,BB,BB,Franklin Resources
CRL,510,245,322,A,BB,B,Charles River Laboratories International
IEX,360,240,306,BB,BB,B,IDEX Corporation
EMN,588,315,389,A,BB,BB,Eastman Chemical Company
GNRC,647,245,358,AA,BB,B,Generac Holdings Inc.
AVY,540,325,347,A,BB,BB,Avery Dennison Corporation
WAB,616,310,330,AA,BB,BB,Wabtec Corporation
J,200,210,202,B,B,B,JAS Asset Public Company Limited
DGX,230,205,300,B,BB,B,Quest Diagnostics Incorporated
CTLT,468,305,301,BBB,BB,BB,Catalent
MPWR,330,235,287,BB,B,B,Monolithic Power Systems
TRMB,510,310,326,A,BB,BB,Trimble Inc.
UDR,220,230,304,B,BB,B,UDR
BIO,285,300,227,B,B,BB,Bio-Rad Laboratories
CAG,505,300,300,A,BB,BB,Conagra Brands
KMX,234,305,238,B,B,BB,CarMax
CTRA,500,300,282,A,B,BB,Coterra Energy Inc.
HOLX,520,300,338,A,BB,BB,Hologic
CNP,550,260,310,A,BB,B,CenterPoint Energy
BXP,552,305,351,A,BB,BB,Boston Properties
DRI,645,310,334,AA,BB,BB,Darden Restaurants
CE,500,300,251,A,B,BB,Credito Emiliano
BRO,295,300,303,B,BB,BB,Brown & Brown
BR,595,340,314,A,BB,BB,Broadridge Financial Solutions
NVR,275,205,200,B,B,B,NVR
VTRS,356,300,301,BB,BB,BB,Viatris Inc.
ETSY,227,200,215,B,B,B,Etsy
TYL,370,305,306,BB,BB,BB,Tyler Technologies
IP,665,328,326,AA,BB,BB,International Paper Company
SBNY,256,215,210,B,B,B,Signature Bank
PAYC,456,315,305,BBB,BB,BB,Paycom Software
POOL,593,310,370,A,BB,BB,Pool Corporation
XYL,400,215,276,BBB,B,B,Xylem Inc.
FLT,385,300,229,BB,B,BB,FLEETCOR Technologies
TTWO,205,305,312,B,BB,BB,Take-Two Interactive Software
TER,462,315,332,BBB,BB,BB,Teradyne
CINF,225,250,274,B,B,B,Cincinnati Financial Corporation
CMS,550,325,667,A,AA,BB,CMS Energy Corporation
GPC,510,320,211,A,B,BB,Genuine Parts Company
PEAK,535,335,331,A,BB,BB,Healthpeak Properties
TDY,500,298,300,A,BB,B,Teledyne Technologies Incorporated
WAT,320,240,304,BB,BB,B,Waters Corporation
EXPD,510,300,302,A,BB,BB,Expeditors International of Washington
MGM,510,235,302,A,BB,B,MGM Resorts International
PFG,540,300,320,A,BB,BB,Principal Financial Group
RCL,500,300,300,A,BB,BB,Royal Caribbean Group
JBHT,535,300,391,A,BB,BB,J.B. Hunt Transport Services
COO,500,300,300,A,BB,BB,The Cooper Companies
CLX,593,355,361,A,BB,BB,The Clorox Company
VTR,500,300,301,A,BB,BB,Ventas
HPE,410,250,311,BBB,BB,B,Hewlett Packard Enterprise Company
VIAC,500,310,322,A,BB,BB,ViacomCBS Inc.
PKI,520,325,314,A,BB,BB,PerkinElmer
ESS,377,210,304,BB,BB,B,Essex Property Trust
RJF,500,305,309,A,BB,BB,Raymond James Financial
DRE,513,300,306,A,BB,BB,Duke Realty Corporation
CCL,560,310,359,A,BB,BB,Carnival Corporation & Plc
STE,510,305,301,A,BB,BB,STERIS plc
MTB,500,280,300,A,BB,B,M&T Bank Corporation
HBAN,243,285,300,B,BB,B,Huntington Bancshares Incorporated
RF,455,300,302,BBB,BB,BB,Eurazeo SE
CFG,225,200,220,B,B,B,Citizens Financial Group
ETR,515,310,306,A,BB,BB,Entergy Corporation
AEE,522,300,362,A,BB,BB,Ameren Corporation
K,315,323,380,BB,BB,BB,Kellogg Company
IR,525,310,314,A,BB,BB,Ingersoll Rand Inc.
FE,505,300,303,A,BB,BB,FirstEnergy Corp.
MAA,285,210,261,B,B,B,Mid-America Apartment Communities
PPL,520,300,301,A,BB,BB,PPL Corporation
IT,540,300,303,A,BB,BB,Gartner
LYV,404,275,300,BBB,BB,B,Live Nation Entertainment
GRMN,212,200,200,B,B,B,Garmin Ltd.
VRSN,575,305,348,A,BB,BB,VeriSign
