timestamp,shallow_preds,svm_preds,gbc_preds,lr_preds,deep_preds,sgdc_preds,mean,signal,entry/exit,close,position,entry/exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns
2021-10-06 00:00:00+00:00,-0.33104852,-1,-1,-1,-0.84507877,-1,-0.8626878807942072,-1.0,0.0,60.1,-274.82,0.0,-16516.68,30077.31,13560.63,0.0024,1.0432
2021-10-07 00:00:00+00:00,-0.49715292,-1,-1,-1,-0.8563828,-1,-0.8922559519608816,-1.0,0.0,60.75,-274.82,0.0,-16695.31,30077.31,13382.0,-0.0132,1.0295
2021-10-08 00:00:00+00:00,-0.5467606,-1,-1,-1,-0.87008846,-1,-0.9028081794579824,-1.0,0.0,61.63,-274.82,0.0,-16937.16,30077.31,13140.15,-0.0181,1.0108
2021-10-11 00:00:00+00:00,-0.5964367,-1,-1,-1,-0.8928326,-1,-0.9148782094319662,-1.0,0.0,61.9,-274.82,0.0,-17011.36,30077.31,13065.95,-0.0056,1.0052
2021-10-12 00:00:00+00:00,-0.66451466,-1,-1,-1,-0.9125886,-1,-0.9295172095298767,-1.0,0.0,62.95,-274.82,0.0,-17299.92,30077.31,12777.39,-0.0221,0.9829
2021-10-13 00:00:00+00:00,-0.73975384,-1,-1,-1,-0.91825706,-1,-0.9430018166700999,-1.0,0.0,63.27,-274.82,0.0,-17387.86,30077.31,12689.45,-0.0069,0.9762
2021-10-14 00:00:00+00:00,-0.7426561,-1,-1,-1,-0.9480562,-1,-0.9484520554542542,-1.0,0.0,64.55,-274.82,0.0,-17739.63,30077.31,12337.68,-0.0277,0.9491
2021-10-15 00:00:00+00:00,-0.7936099,-1,-1,-1,-0.94214076,-1,-0.9559584458669027,-1.0,0.0,65.12,-274.82,0.0,-17896.28,30077.31,12181.03,-0.0127,0.9371
2021-10-18 00:00:00+00:00,-0.8375172,-1,-1,-1,-0.9551602,-1,-0.9654462337493896,-1.0,0.0,65.19,-274.82,0.0,-17915.52,30077.31,12161.79,-0.0016,0.9356
2021-10-19 00:00:00+00:00,-0.7526591,-1,-1,-1,-0.9558075,-1,-0.951411098241806,-1.0,0.0,65.14,-274.82,0.0,-17901.77,30077.31,12175.54,0.0011,0.9366
2021-10-20 00:00:00+00:00,-0.6798182,-1,-1,-1,-0.9325581,-1,-0.9353960553805033,-1.0,0.0,65.13,-274.82,0.0,-17899.03,30077.31,12178.28,0.0002,0.9368
2021-10-21 00:00:00+00:00,0.08524405,-1,-1,-1,-0.900728,-1,-0.8025806558628877,-1.0,0.0,64.31,-274.82,0.0,-17673.67,30077.31,12403.64,0.0185,0.9541
2021-10-22 00:00:00+00:00,-0.77436465,-1,-1,-1,-0.9866294,-1,-0.9601656794548035,-1.0,0.0,64.81,-274.82,0.0,-17811.08,30077.31,12266.23,-0.0111,0.9435
2021-10-25 00:00:00+00:00,-0.65308696,-1,-1,-1,-0.90808797,-1,-0.926862488190333,-1.0,0.0,65.87,-274.82,0.0,-18102.39,30077.31,11974.92,-0.0237,0.9212
2021-10-26 00:00:00+00:00,0.42973733,-1,-1,-1,-0.9423738,-1,-0.7521060804526011,-1.0,0.0,65.85,-274.82,0.0,-18096.9,30077.31,11980.41,0.0005,0.9216
2021-10-27 00:00:00+00:00,-0.27404144,-1,-1,-1,-0.9705669,-1,-0.8741013954083124,-1.0,0.0,65.21,-274.82,0.0,-17921.01,30077.31,12156.3,0.0147,0.9352
2021-10-28 00:00:00+00:00,-0.5361593,-1,-1,-1,-0.97622395,-1,-0.9187305370966593,-1.0,0.0,65.5,-274.82,0.0,-18000.71,30077.31,12076.6,-0.0066,0.929
2021-10-29 00:00:00+00:00,0.46482077,1,-1,-1,0.12869997,-1,-0.23441320906082788,0.0,1.0,63.62,0.0,274.82,0.0,12593.27,12593.27,0.0428,0.9688
2021-11-01 00:00:00+00:00,0.025115537,-1,-1,-1,-0.9976583,-1,-0.8287571292991439,-1.0,-1.0,64.14,-274.82,-274.82,-17626.95,30220.22,12593.27,0.0,0.9688
2021-11-02 00:00:00+00:00,-0.010697535,-1,-1,-1,-0.9524536,-1,-0.827191858086735,-1.0,0.0,64.07,-274.82,0.0,-17607.72,30220.22,12612.5,0.0015,0.9702
2021-11-03 00:00:00+00:00,0.6835692,-1,-1,-1,-0.9766957,-1,-0.7155210872491201,-1.0,0.0,63.92,-274.82,0.0,-17566.49,30220.22,12653.73,0.0033,0.9734
2021-11-04 00:00:00+00:00,0.8962295,1,-1,-1,-0.91543025,-1,-0.33653345704078674,0.0,1.0,63.44,0.0,274.82,0.0,12785.64,12785.64,0.0104,0.9835
