,shallow_preds,svm_preds,gbc_preds,lr_preds,deep_preds,sgdc_preds,mean,signal,entry/exit,close,position,entry/exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns
2021-12-02 00:00:00+00:00,-0.9876418,1,-1,-1,-0.81499237,-1,-0.6337723632653555,-1.0,-1.0,4573.25,-9.22,-9.22,-42165.37,79008.17,36842.8,0.0,1.0233
2021-12-03 00:00:00+00:00,-0.37639123,-1,-1,-1,-0.9971062,-1,-0.8955829044183096,-1.0,0.0,3783.89,-9.22,0.0,-34887.47,79008.17,44120.7,0.1975,1.2254
2021-12-04 00:00:00+00:00,-0.9951656,-1,-1,-1,-0.5804054,-1,-0.9292618334293365,-1.0,0.0,4209.07,-9.22,0.0,-38807.63,79008.17,40200.54,-0.0889,1.1164
2021-12-05 00:00:00+00:00,-0.8442864,-1,-1,-1,-0.619301,-1,-0.9105979005495707,-1.0,0.0,4140.04,-9.22,0.0,-38171.17,79008.17,40837.0,0.0158,1.1341
2021-12-06 00:00:00+00:00,-0.9853204,-1,-1,-1,-0.11496441,-1,-0.8500474666555723,-1.0,0.0,4350.02,-9.22,0.0,-40107.18,79008.17,38900.99,-0.0474,1.0803
2021-12-07 00:00:00+00:00,-0.7875145,-1,-1,1,-0.73193836,1,-0.2532421449820201,0.0,1.0,4329.11,0.0,9.22,0.0,39093.77,39093.77,0.005,1.0857
2021-12-08 00:00:00+00:00,-0.9764521,1,-1,-1,-0.55255395,-1,-0.5881676773230234,-1.0,-1.0,4393.18,-9.22,-9.22,-40505.12,79598.89,39093.77,0.0,1.0857
2021-12-09 00:00:00+00:00,-0.8159406,-1,-1,-1,-0.93524057,-1,-0.958530197540919,-1.0,0.0,4122.11,-9.22,0.0,-38005.85,79598.89,41593.04,0.0639,1.1551
2021-12-10 00:00:00+00:00,-0.6605623,1,1,1,-0.83253473,1,0.4178171654542287,1.0,2.0,4033.17,9.22,18.44,37185.83,5227.240000000002,42413.07,0.0197,1.1778
2021-12-11 00:00:00+00:00,-0.9785437,-1,-1,-1,-0.78622466,-1,-0.960794727007548,-1.0,-2.0,4040.1,-9.22,-18.44,-37249.72,79726.68,42476.96,0.0015,1.1796
