timestamp,open,high,low,close,volume,trade_count,vwap
2021-08-06 04:00:00+00:00,56.64,57.17,56.1,56.5,5035725,41585,56.586462
2021-08-09 04:00:00+00:00,55.46,56.1728,55.23,55.45,5406421,43993,55.559877
2021-08-10 04:00:00+00:00,55.88,56.775,55.76,56.48,6775032,57222,56.494275
2021-08-11 04:00:00+00:00,56.38,57.355,55.95,57.19,6066133,52972,56.863874
2021-08-12 04:00:00+00:00,57.13,57.58,56.53,57.04,4729123,48189,56.953828
2021-08-13 04:00:00+00:00,57.13,57.23,55.85,55.97,7394364,53781,56.387377
2021-08-16 04:00:00+00:00,55.12,55.58,54.6,54.81,7455625,63012,55.018488
2021-08-17 04:00:00+00:00,54.38,55.439,54.25,54.52,6504907,55593,54.748838
2021-08-18 04:00:00+00:00,54.36,55.06,53.46,53.53,6633852,59814,54.229673
2021-08-19 04:00:00+00:00,52.49,52.975,51.41,52.44,11278981,102895,52.080128
2021-08-20 04:00:00+00:00,51.78,52.99,51.59,52.77,7050121,59358,52.563539
2021-08-23 04:00:00+00:00,54.26,55.125,54.02,54.79,8010611,65018,54.737456
2021-08-24 04:00:00+00:00,55.25,55.69,54.635,55.41,6243300,52865,55.24087
2021-08-25 04:00:00+00:00,55.42,56.39,55.05,56.02,6123875,50786,55.899032
2021-08-26 04:00:00+00:00,55.66,56.09,54.955,55.13,5187925,47784,55.43787
2021-08-27 04:00:00+00:00,55.78,57.12,55.52,56.74,6533170,55508,56.611096
2021-08-30 04:00:00+00:00,56.96,57.14,56.18,56.2,4834635,45633,56.61579
2021-08-31 04:00:00+00:00,55.99,56.33,55.3,55.53,10478416,69707,55.721564
2021-09-01 04:00:00+00:00,55.55,55.92,54.42,54.65,9305901,82455,54.999795
2021-09-02 04:00:00+00:00,55.35,56.98,55.21,56.6,6694362,57793,56.516461
2021-09-03 04:00:00+00:00,56.37,56.95,55.94,56.24,7949745,65728,56.277418
2021-09-07 04:00:00+00:00,55.79,56.48,55.32,55.98,6627118,62515,55.875393
2021-09-08 04:00:00+00:00,56.34,56.61,55.19,55.28,5178979,50343,55.669673
2021-09-09 04:00:00+00:00,55.11,56.54,54.83,55.58,6279430,60688,55.717494
2021-09-10 04:00:00+00:00,56.65,56.74,55.46,55.73,5050571,55308,55.910442
2021-09-13 04:00:00+00:00,56.63,58.08,56.57,57.59,8448043,81426,57.505502
2021-09-14 04:00:00+00:00,58.22,58.29,56.61,56.94,7889963,73141,57.231214
2021-09-15 04:00:00+00:00,58.19,59.46,58.06,59.32,10755243,106817,59.128047
2021-09-16 04:00:00+00:00,59.3,59.66,58.755,59.23,8769912,80464,59.200657
2021-09-17 04:00:00+00:00,59.21,59.91,58.78,58.92,13735838,70831,59.012195
2021-09-20 04:00:00+00:00,57.49,58.01,56.3,57.07,9973419,93960,56.983615
2021-09-21 04:00:00+00:00,58.67,59.825,57.72,59.33,13913412,127814,58.849976
2021-09-22 04:00:00+00:00,60.3,62.89,60.21,62.26,15710666,139599,61.995406
2021-09-23 04:00:00+00:00,62.33,64.12,62.25,63.71,11843152,102581,63.472528
2021-09-24 04:00:00+00:00,63.77,65.695,63.54,65.02,11107620,99654,65.056305
2021-09-27 04:00:00+00:00,66.52,66.95,65.8,66.71,13489239,126483,66.491062
2021-09-28 04:00:00+00:00,67.63,68.6429,67.17,67.8,14929928,148578,67.851044
2021-09-29 04:00:00+00:00,67.73,68.48,66.615,68.04,10501297,103622,67.856172
2021-09-30 04:00:00+00:00,68.13,68.89,67.72,67.77,15711234,124469,68.186579
2021-10-01 04:00:00+00:00,68.39,70.325,68.31,70.1,13446161,129910,69.545555
2021-10-04 04:00:00+00:00,70.87,72.61,70.63,71.49,12338616,120353,71.740006
2021-10-05 04:00:00+00:00,72.17,72.86,70.71,71.73,11250817,110029,71.975376
2021-10-06 04:00:00+00:00,70.46,72.11,69.79,71.81,10513329,102156,71.279765
2021-10-07 04:00:00+00:00,71.89,72.13,70.61,71.51,11506812,102183,71.55627
2021-10-08 04:00:00+00:00,72.33,75.1,72.19,74.92,12282583,108855,74.224538
2021-10-11 04:00:00+00:00,75.01,75.5201,73.745,73.97,9562183,96576,74.555176
2021-10-12 04:00:00+00:00,73.67,74.61,73.02,73.41,7595877,76765,73.588783
2021-10-13 04:00:00+00:00,72.27,73.76,71.46,73.23,8452166,83322,72.834016
2021-10-14 04:00:00+00:00,74.37,74.6075,72.84,73.85,8135405,70066,73.498963
2021-10-15 04:00:00+00:00,74.63,74.93,74.13,74.14,6901892,64263,74.471738
2021-10-18 04:00:00+00:00,74.78,75.745,74.13,74.5,9829858,83436,74.947208
2021-10-19 04:00:00+00:00,74.78,75.845,74.38,75.32,6534382,66105,75.248955
2021-10-20 04:00:00+00:00,74.7,76.1,74.54,76.02,5462701,61383,75.504272
2021-10-21 04:00:00+00:00,75.31,75.65,74.11,74.59,5788568,61503,74.800637
2021-10-22 04:00:00+00:00,75.09,76.08,74.99,75.72,7052664,69038,75.711878
2021-10-25 04:00:00+00:00,76.59,77.9762,76.1964,76.52,7429306,74396,76.809026
2021-10-26 04:00:00+00:00,76.65,77.63,76.4701,77.03,5827785,59934,77.171136
2021-10-27 04:00:00+00:00,75.51,76.66,74.25,74.43,8940421,86904,75.189681
2021-10-28 04:00:00+00:00,74.4,75.34,74.12,75.15,5167083,62189,74.741393
2021-10-29 04:00:00+00:00,74.89,75.3,73.97,74.49,8028975,64343,74.622075
2021-11-01 04:00:00+00:00,75.23,75.41,74.42,74.59,11898550,116373,74.762767
2021-11-02 04:00:00+00:00,74.63,75.25,72.8106,73.03,10889572,101765,73.658121
2021-11-03 04:00:00+00:00,72.61,73.69,72.25,72.74,9298746,98166,72.999111
2021-11-04 04:00:00+00:00,74.0,74.78,72.87,73.31,8573298,95649,73.655194
2021-11-05 04:00:00+00:00,74.48,75.805,73.915,75.45,6985259,79463,75.127037
2021-11-08 05:00:00+00:00,75.9,77.15,75.46,75.93,6953284,74415,76.359752
2021-11-09 05:00:00+00:00,75.84,75.99,74.72,75.75,6038605,70886,75.465397
2021-11-10 05:00:00+00:00,74.55,74.97,72.93,73.0,7476259,81822,73.568561
2021-11-11 05:00:00+00:00,73.245,73.66,71.99,72.14,7783119,86759,72.806191
2021-11-12 05:00:00+00:00,71.6,72.54,71.5001,72.36,5326314,59925,72.054014
2021-11-15 05:00:00+00:00,72.3,73.39,71.74,72.72,6176011,57851,72.767093
2021-11-16 05:00:00+00:00,73.01,73.805,72.57,72.64,7448904,57689,72.985035
2021-11-17 05:00:00+00:00,72.17,73.93,71.73,71.97,7622911,78308,72.44859
2021-11-18 05:00:00+00:00,72.21,73.21,71.61,72.72,6540814,67342,72.630494
2021-11-19 05:00:00+00:00,70.86,71.3,69.41,69.61,8815143,92796,69.918656
2021-11-22 05:00:00+00:00,69.71,72.83,69.605,71.89,7444094,84512,71.712531
2021-11-23 05:00:00+00:00,72.88,74.72,72.84,73.78,9099271,99315,73.684134
2021-11-24 05:00:00+00:00,73.48,75.49,73.2,74.83,7210957,67486,74.8156
2021-11-26 05:00:00+00:00,70.29,71.6185,69.34,71.48,10246227,88236,70.782317
2021-11-29 05:00:00+00:00,73.35,74.7,71.95,72.15,9189083,86242,72.602638
2021-11-30 05:00:00+00:00,70.65,72.24,70.01,70.13,15706230,100214,70.458439
2021-12-01 05:00:00+00:00,71.94,72.18,69.15,69.2,10047397,119238,70.690494
2021-12-02 05:00:00+00:00,69.18,71.645,68.24,71.26,8382330,89385,70.593008
2021-12-03 05:00:00+00:00,72.3,72.945,70.1801,71.11,6979797,73869,71.033531
2021-12-06 05:00:00+00:00,72.46,73.51,71.63,72.81,6196855,70459,72.717052
2021-12-07 05:00:00+00:00,74.21,75.96,74.095,74.57,8123537,81261,74.94673
2021-12-08 05:00:00+00:00,74.95,75.37,73.59,74.11,6304023,68712,74.2158
2021-12-09 05:00:00+00:00,73.49,73.96,72.46,72.55,6503647,64580,72.864363
2021-12-10 05:00:00+00:00,73.44,73.65,71.59,73.49,6054408,69786,72.671475
2021-12-13 05:00:00+00:00,72.88,73.13,70.52,71.02,5717764,69979,71.326148
2021-12-14 05:00:00+00:00,70.51,71.7415,70.03,70.68,6657991,66100,70.926268
2021-12-15 05:00:00+00:00,70.7,71.22,68.67,70.71,6792749,66938,70.067814
2021-12-16 05:00:00+00:00,71.64,73.06,71.32,71.7,7054904,62619,72.028604
2021-12-17 05:00:00+00:00,70.27,71.1,68.5,68.61,23037940,109227,69.034461
2021-12-20 05:00:00+00:00,66.94,68.64,66.06,68.6,11467423,93531,67.903736
2021-12-21 05:00:00+00:00,69.38,70.84,69.3,70.68,6314599,58130,70.288645
2021-12-22 05:00:00+00:00,70.56,71.62,69.86,71.08,3768575,45007,71.049146
2021-12-23 05:00:00+00:00,71.3,72.14,71.04,71.19,3898279,40387,71.387969
2021-12-27 05:00:00+00:00,71.19,73.25,70.46,73.21,3968575,44506,72.613604
2021-12-28 05:00:00+00:00,73.43,73.92,72.885,73.12,3381757,39735,73.308971
2021-12-29 05:00:00+00:00,72.84,73.78,72.44,72.92,3942560,46829,73.045758
2021-12-30 05:00:00+00:00,73.04,73.7,72.2,72.28,3339866,39131,72.659958
2021-12-31 05:00:00+00:00,71.76,72.67,71.6797,72.18,3452335,35165,72.192761
2022-01-03 05:00:00+00:00,72.1,73.96,72.0206,73.77,5768067,58264,73.578526
2022-01-04 05:00:00+00:00,74.69,77.38,74.28,76.97,9186602,97756,76.587903
2022-01-05 05:00:00+00:00,78.0,78.27,75.52,75.65,9027541,89850,76.580977
2022-01-06 05:00:00+00:00,77.61,78.79,76.9,78.49,8663548,91340,78.188698
2022-01-07 05:00:00+00:00,78.82,80.93,78.38,80.64,10829719,99286,80.246813
2022-01-10 05:00:00+00:00,80.655,81.16,79.21,81.03,9087914,85350,80.585313
2022-01-11 05:00:00+00:00,81.78,83.765,80.63,83.59,8510626,80239,82.547653
2022-01-12 05:00:00+00:00,84.0,84.54,83.1,84.4,7735777,78670,84.08954
2022-01-13 05:00:00+00:00,83.98,84.86,83.19,83.62,6802715,68004,84.079486
2022-01-14 05:00:00+00:00,84.05,86.87,83.87,86.74,7938694,76373,86.00913
2022-01-18 05:00:00+00:00,88.3,89.11,85.82,87.51,10772252,103803,87.516081
2022-01-19 05:00:00+00:00,88.0,88.44,85.72,87.28,7354570,82930,87.18599
